,filename,dbcount,frac_mean,frac_median,frac_iqr,frac_sem,ibi_mean,ibi_median,ibi_iqr,ibi_sem
50,data_20140523_024613_18685.h5,60,0.4804487179487179,0.48333333333333334,0.3416666666666666,0.03980707295442873,0.6791999999999855,0.6349999999999874,0.2949999999999955,0.0422834482983581
51,data_20140523_233014_19087.h5,60,0.4488425925925925,0.44791666666666663,0.19166666666666665,0.023927393244193504,0.5038571428571321,0.49999999999998934,0.18999999999999728,0.026195841059899267
52,data_20140719_203045_21294.h5,60,0.6486559139784945,0.675,0.2354166666666666,0.030649326887859145,0.5648333333333213,0.5824999999999876,0.2199999999999953,0.02792897738510569
53,data_20140720_193239_21856.h5,60,0.7192528735632183,0.775,0.09166666666666667,0.03780799320348215,0.6001785714285586,0.5449999999999884,0.2874999999999954,0.03394233569313287
54,data_20140721_155857_22403.h5,60,0.7670572916666667,0.8,0.1395833333333334,0.028608913999004806,0.5562903225806334,0.5299999999999869,0.1424999999999983,0.028120294341764437
55,data_20140722_122930_22791.h5,60,0.5517676767676768,0.5708333333333333,0.22083333333333338,0.028075287096464813,0.5328124999999886,0.4949999999999899,0.15749999999999664,0.02816635624272161
56,data_20140723_091844_23182.h5,60,0.7492521367521368,0.775,0.09375,0.020110533768235805,0.46394736842104267,0.4624999999999915,0.10749999999999749,0.020221179106325225
57,data_20140731_154821_113639_compute-0-0.local.h5,60,0.6635714285714286,0.6625,0.10625000000000007,0.018418397368156415,0.5192647058823417,0.49749999999998984,0.11749999999999594,0.020692266452735773
58,data_20140731_154822_82089_compute-0-2.local.h5,60,0.785,0.825,0.12395833333333339,0.02746732646233531,0.6031034482758492,0.5599999999999881,0.16999999999999815,0.03106624674413395
59,data_20140731_154822_82090_compute-0-2.local.h5,60,0.5894379844961241,0.6125,0.29999999999999993,0.02795647194020847,0.4167857142857055,0.39499999999999114,0.19374999999999654,0.020182688725106247
60,data_20140731_154822_89440_compute-0-3.local.h5,60,0.7258130081300813,0.7458333333333333,0.11249999999999993,0.01842779819857002,0.4436249999999905,0.4449999999999905,0.06875000000000053,0.012788951937772684
61,data_20140731_154822_95924_compute-0-1.local.h5,60,0.7962797619047619,0.8270833333333334,0.07708333333333339,0.029576625110177012,0.6453703703703567,0.6249999999999867,0.18499999999999517,0.030195146312294904
62,data_20140731_154822_95930_compute-0-4.local.h5,60,0.7669956140350876,0.7729166666666667,0.0864583333333333,0.010700416481014224,0.4724324324324224,0.4499999999999904,0.07999999999999918,0.0155318881775901
63,data_20140724_125424_236053_compute-0-2.local.h5,30,0.9564542483660131,0.9583333333333334,0.014583333333333393,0.001770898116808826,0.35169999999999246,0.3599999999999923,0.02374999999999927,0.00623945641274373
64,data_20140724_125424_243375_compute-0-3.local.h5,30,0.8943576388888889,0.8958333333333334,0.033333333333333326,0.00327174557223267,0.3707446808510559,0.36999999999999034,0.03000000000000025,0.008240121385559443
65,data_20140724_125424_3938_compute-0-1.local.h5,30,0.8028645833333333,0.7979166666666666,0.04791666666666661,0.007152173538828954,0.5375806451612788,0.47499999999999076,0.15499999999999625,0.03515929263339489
66,data_20140724_125424_4784_compute-0-4.local.h5,30,0.8306306306306306,0.8291666666666667,0.04999999999999993,0.005072917318540821,0.48722222222221195,0.4874999999999896,0.12249999999999694,0.01584579014299131
67,data_20140724_125424_6704_compute-0-5.local.h5,30,0.8651515151515152,0.8625,0.04270833333333324,0.003989105355751198,0.40965116279068886,0.3799999999999919,0.07499999999999751,0.012149169006710944
68,data_20140724_125424_6705_compute-0-5.local.h5,30,0.6634408602150538,0.6833333333333333,0.06458333333333333,0.017590555173882208,0.5683333333333213,0.5099999999999882,0.1562499999999969,0.042695347759520955
69,data_20140824_115703_32126_compute-0-31.local.h5,30,0.86968954248366,0.8708333333333333,0.04375000000000007,0.004386486526109918,0.3496999999999925,0.34749999999999304,0.030000000000002025,0.007015158514216861
70,data_20140824_120313_32666_compute-0-31.local.h5,30,0.8291666666666667,0.81875,0.046875,0.005707254271780023,0.5032857142857035,0.46999999999999,0.06999999999999984,0.021478876526828
71,data_20140824_120430_74494_compute-0-32.local.h5,30,0.8866666666666663,0.8875,0.04583333333333328,0.003606251586488455,0.3955681818181734,0.3899999999999917,0.06249999999999867,0.009382656716996236
72,data_20140824_120439_74618_compute-0-32.local.h5,30,0.9277027027027028,0.9291666666666667,0.01666666666666672,0.0025231257322531615,0.47652777777776767,0.47499999999998943,0.15124999999999544,0.015342413776646031
