filename,gabascale,frac_mean,frac_med,frac_iqr
data_20141022_144212_13742_compute-0-29.local.h5,0.9,0.73690476190476195,0.78541666666666665,0.12291666666666667
data_20141022_143836_13376_compute-0-29.local.h5,0.9,0.73162878787878793,0.75416666666666665,0.10520833333333324
data_20141022_144206_16082_compute-0-20.local.h5,1.1,0.53158602150537637,0.53749999999999998,0.28958333333333325
data_20141022_143830_15717_compute-0-20.local.h5,1.1,0.64876543209876536,0.65416666666666667,0.15625
data_20141022_143839_60722_compute-0-32.local.h5,0.9,0.74400406504065042,0.7416666666666667,0.058333333333333348
data_20141022_144215_61087_compute-0-32.local.h5,0.9,0.76436403508771922,0.76458333333333339,0.073958333333333237
data_20141022_144142_57805_compute-0-0.local.h5,1.2,0.35538194444444438,0.2895833333333333,0.11145833333333338
data_20141022_143806_57438_compute-0-0.local.h5,1.2,,,
data_20140731_154822_82089_compute-0-2.local.h5,1.0,0.78500000000000003,0.82499999999999996,0.12395833333333339
data_20140731_154822_82090_compute-0-2.local.h5,1.0,0.58943798449612406,0.61250000000000004,0.29999999999999993
data_20140731_154822_89440_compute-0-3.local.h5,1.0,0.72581300813008132,0.74583333333333335,0.11249999999999993
data_20140731_154822_95924_compute-0-1.local.h5,1.0,0.79627976190476191,0.82708333333333339,0.077083333333333393
data_20140731_154822_95930_compute-0-4.local.h5,1.0,0.76699561403508765,0.7729166666666667,0.086458333333333304
data_20140520_123248_17595.h5,1.0,0.76239316239316246,0.81666666666666665,0.074999999999999956
data_20140521_090848_17993.h5,1.0,0.42499999999999999,0.33333333333333331,0.25416666666666671
data_20140522_055626_18272.h5,1.0,0.75305555555555548,0.76666666666666672,0.1166666666666667
data_20140523_024613_18685.h5,1.0,0.48044871794871791,0.48333333333333334,0.34166666666666662
data_20140523_233014_19087.h5,1.0,0.44884259259259252,0.44791666666666663,0.19166666666666665
data_20141026_001929_36071_compute-0-59.local.h5,0.6,0.88802083333333337,0.88749999999999996,0.025000000000000022
data_20141026_001914_35933_compute-0-59.local.h5,0.7,0.8706140350877194,0.8666666666666667,0.033333333333333326
data_20141026_001911_143368_compute-0-57.local.h5,0.7,0.84772727272727277,0.84583333333333333,0.037499999999999978
data_20141026_001926_143524_compute-0-57.local.h5,0.6,0.88317901234567897,0.8833333333333333,0.025000000000000022
data_20141026_001920_113909_compute-0-55.local.h5,0.6,0.85160256410256419,0.84999999999999998,0.042708333333333348
data_20141026_001905_113782_compute-0-55.local.h5,0.7,0.88124999999999987,0.8833333333333333,0.033333333333333326
data_20141026_001902_97951_compute-0-53.local.h5,0.7,0.89322916666666663,0.89375000000000004,0.02604166666666663
data_20141026_001917_98093_compute-0-53.local.h5,0.6,0.88450854700854697,0.88749999999999996,0.033333333333333326
data_20141026_001923_117650_compute-0-56.local.h5,0.6,0.90243055555555551,0.90208333333333335,0.024999999999999911
data_20141026_001908_117491_compute-0-56.local.h5,0.7,0.80484234234234231,0.8125,0.050000000000000044
data_20141026_001859_109751_compute-0-15.local.h5,1.2,0.52575757575757576,0.5625,0.25416666666666671
data_20141026_001853_163926_compute-0-8.local.h5,1.2,0.44760416666666664,0.37083333333333335,0.32291666666666663
data_20141026_001856_153295_compute-0-9.local.h5,1.2,0.43441358024691368,0.35416666666666669,0.24791666666666667
data_20141026_001847_131962_compute-0-4.local.h5,1.2,0.79850427350427344,0.83333333333333337,0.12083333333333335
data_20141026_001850_156496_compute-0-6.local.h5,1.2,0.30053763440860215,0.29999999999999999,0.10416666666666669
data_20141026_001845_146660_compute-0-0.local.h5,1.2,0.53236111111111106,0.59791666666666665,0.41249999999999998
data_20141103_123544_36955_compute-0-30.local.h5,1.1,0.4440972222222222,0.40625,0.25104166666666661
data_20141103_123556_211160_compute-0-34.local.h5,1.1,0.62873563218390804,0.71666666666666667,0.40833333333333333
data_20141103_123623_201076_compute-0-3.local.h5,0.8,0.81757812500000004,0.84375,0.058333333333333348
data_20141103_123638_205718_compute-0-43.local.h5,1.0,0.45129310344827583,0.44583333333333336,0.17083333333333328
data_20141103_123608_111639_compute-0-23.local.h5,0.9,0.7126190476190476,0.69166666666666665,0.091666666666666674
data_20141103_123617_234047_compute-0-1.local.h5,0.8,0.78520833333333329,0.77500000000000002,0.072916666666666519
data_20141103_123635_205729_compute-0-42.local.h5,1.0,0.64381720430107525,0.6333333333333333,0.12291666666666667
data_20141103_123553_158150_compute-0-33.local.h5,1.1,0.60120614035087716,0.61875000000000002,0.095833333333333326
data_20141103_123611_207736_compute-0-24.local.h5,0.9,0.71371951219512197,0.72499999999999998,0.070833333333333304
data_20141103_123632_202657_compute-0-41.local.h5,1.0,0.48508771929824551,0.43541666666666667,0.26249999999999996
data_20141103_123547_193866_compute-0-31.local.h5,1.1,0.56317567567567584,0.59583333333333333,0.14166666666666672
data_20141103_123605_219529_compute-0-22.local.h5,0.9,0.76121031746031742,0.76041666666666663,0.087500000000000022
data_20141103_123602_194143_compute-0-21.local.h5,0.9,0.80784313725490187,0.81666666666666665,0.069791666666666585
data_20141103_123626_236633_compute-0-4.local.h5,0.8,0.86732954545454566,0.8666666666666667,0.029166666666666674
data_20141103_123620_212067_compute-0-2.local.h5,0.8,0.83864583333333331,0.84791666666666665,0.068749999999999978
data_20141103_123559_204313_compute-0-20.local.h5,0.9,0.80000000000000004,0.80000000000000004,0.066666666666666652
data_20141103_123550_2744_compute-0-32.local.h5,1.1,0.49455128205128202,0.39583333333333331,0.33750000000000002
data_20141103_123629_214816_compute-0-40.local.h5,1.0,0.52752976190476186,0.44166666666666665,0.46875
data_20141103_123614_3563_compute-0-0.local.h5,0.8,0.77406249999999999,0.80208333333333337,0.063541666666666718
data_20141103_123641_229100_compute-0-44.local.h5,1.0,0.60732758620689653,0.66666666666666663,0.28749999999999998
